Date,Open,High,Low,Close,Adj Close,Volume
3/1/1999,11.053199,11.187994,10.873472,11.165528,8.628553,3356700
3/2/1999,11.120597,11.423885,11.109364,11.322789,8.750082,4204700
3/3/1999,11.682243,11.682243,11.143063,11.187994,8.645915,3894200
3/4/1999,11.199227,11.390187,11.199227,11.367721,8.784806,4442800
3/5/1999,11.704709,11.772106,11.614845,11.760874,9.088625,6852600
3/8/1999,11.78334,11.951833,11.693476,11.9406,9.227519,3101900
3/9/1999,11.74964,11.873202,11.704709,11.817039,9.13203,3289900
3/10/1999,11.772106,11.78334,11.48005,11.547448,8.923697,2457600
3/11/1999,11.59238,11.839504,11.59238,11.704709,9.045225,4889600
3/12/1999,11.637311,11.637311,11.300323,11.468818,8.862931,3130300
3/15/1999,11.367721,11.378954,11.154296,11.21046,8.663274,2688500
3/16/1999,11.48005,11.715941,11.378954,11.435119,8.836887,2960000
3/17/1999,11.435119,11.906901,11.435119,11.86197,9.166753,2279500
3/18/1999,12.13156,12.412383,11.951833,12.401151,9.583426,3952600
3/19/1999,12.580877,12.715672,12.446082,12.491014,9.652869,4668700
3/22/1999,12.401151,12.59211,12.333753,12.547178,9.696272,1433800
3/23/1999,12.468548,12.468548,12.041697,12.154026,9.392452,3251600
3/24/1999,11.884436,11.951833,11.817039,11.906901,9.201477,2829200
